"waveband","wavenumber","q05","q95","mean","sd"
"w3812",3812,0.232553756191798,0.706561,0.460816076707676,0.161271510128357
"w3810",3810,0.235593973340387,0.71018175,0.463941475291789,0.161450699117942
"w3808",3808,0.2367683,0.712548,0.46578257579054,0.161789868578303
"w3806",3806,0.235920400974433,0.7133573,0.465964876094933,0.162143691284638
"w3804",3804,0.236054565553074,0.71496115,0.466888609335568,0.162431102922508
"w3802",3802,0.2367937,0.7173033,0.468597724795346,0.162776220189469
"w3801",3801,0.235696522819529,0.7181926,0.468730355635685,0.163216426564894
"w3799",3799,0.236679330110632,0.7201386,0.47043962534501,0.16333509369583
"w3797",3797,0.23958755,0.72404075,0.473770906522052,0.163421610246327
"w3795",3795,0.24162525,0.7272678,0.476611840697714,0.163623043887504
"w3793",3793,0.24421905,0.73086295,0.479769910279498,0.163780174228964
"w3791",3791,0.247121966719303,0.73469535,0.483179421773777,0.164004436367016
"w3789",3789,0.248909340683076,0.738016,0.485866810578332,0.164346594146097
"w3787",3787,0.250040056500719,0.7408973,0.488011264681898,0.164758556768669
"w3785",3785,0.2507727,0.7436029,0.489931564167582,0.165197583399402
"w3783",3783,0.2518945,0.7464452,0.492184189512413,0.165602985750209
"w3781",3781,0.2541577,0.7502156,0.495376736670156,0.165937595226908
"w3779",3779,0.256126889773492,0.75394115,0.498452823109618,0.166337374458891
"w3777",3777,0.256966497648246,0.75705215,0.50070768905184,0.166827805350782
"w3775",3775,0.258588,0.76060675,0.5034992922886,0.167285935779301
"w3774",3774,0.26089585,0.76521175,0.506830383120693,0.167771702760071
"w3772",3772,0.2629244126006,0.7695312,0.510150589554197,0.168362740102944
"w3770",3770,0.263842,0.77325605,0.51275877849946,0.169047268596806
"w3768",3768,0.2648427,0.777007,0.515501410722223,0.169648810646296
"w3766",3766,0.266973,0.781797,0.519248042141407,0.170242947475399
"w3764",3764,0.269769199081902,0.7872936,0.523593665137848,0.17090060437382
"w3762",3762,0.273062816593119,0.7931333,0.528379885246286,0.171596392892339
"w3760",3760,0.27581525,0.7994274,0.53300653318579,0.172455391847378
"w3758",3758,0.277435765544855,0.8051016,0.537131946858626,0.173431440312611
"w3756",3756,0.28024225,0.8115416,0.542058216213622,0.174394002825662
"w3754",3754,0.283820032001881,0.8190723,0.547777641610323,0.175429677938076
"w3752",3752,0.285866974520495,0.82627905,0.552587593124365,0.17685398416837
"w3750",3750,0.285463835873258,0.832325,0.556196153772685,0.178565855991859
"w3748",3748,0.2883644,0.84018645,0.562201351498371,0.179917950059499
"w3747",3747,0.293907419945631,0.85065105,0.569940012499951,0.181109059255397
"w3745",3745,0.298443978093087,0.86156825,0.577786184663963,0.182809230007499
"w3743",3743,0.30415193803235,0.87402435,0.587184292647446,0.18455513282301
"w3741",3741,0.3136772,0.88892165,0.599343324647795,0.185989154684373
"w3739",3739,0.322522681036064,0.904992,0.611669485789345,0.187825937513435
"w3737",3737,0.32878175,0.92066265,0.622797064393445,0.190424649417302
"w3735",3735,0.3324068,0.93678935,0.633282138091875,0.193789968847512
"w3733",3733,0.33873645,0.95564345,0.646230054732645,0.197304040874007
"w3731",3731,0.34933535,0.97851345,0.662742002750804,0.200635162630753
"w3729",3729,0.361040520756761,1.0036815,0.680889646261469,0.204366515887437
"w3727",3727,0.372532437166159,1.03098,0.700729076616246,0.208858660038573
"w3725",3725,0.385570514969666,1.0641,0.724000035896764,0.214589494806794
"w3723",3723,0.4004978,1.1032245,0.751044915197202,0.221524282518075
"w3721",3721,0.41897665,1.14979,0.783505760864531,0.229623458048298
"w3720",3720,0.437626145871867,1.20084,0.817138806331218,0.238801691207834
"w3718",3718,0.46090395,1.26062545528887,0.859024004444244,0.249595177256824
"w3716",3716,0.48483485,1.3257615,0.904369567898434,0.261685801443214
"w3714",3714,0.507452966714552,1.393623,0.951644837823538,0.274917572539
"w3712",3712,0.530939869486968,1.47022,1.00489343790216,0.290392993868997
"w3710",3710,0.5588419,1.5573745,1.0680964493673,0.30791703948559
"w3708",3708,0.58629685,1.641083,1.13111513291404,0.324561326714492
"w3706",3706,0.61059155,1.71276071099853,1.18723782770393,0.338940733837543
"w3704",3704,0.632792146698727,1.779023,1.23991458061088,0.352058752700532
"w3702",3702,0.65285465,1.8390715,1.28953445947074,0.363917659624225
"w3700",3700,0.6713595,1.8877415,1.3316263005698,0.373059633327417
"w3698",3698,0.68598495,1.9175615,1.35984526387493,0.377886206868088
"w3696",3696,0.6956276,1.92375,1.36993064837364,0.377332833869511
"w3694",3694,0.699894,1.91137250924301,1.36570052757415,0.372921407832821
"w3693",3693,0.699695644084109,1.8879915,1.35230184582197,0.36623430040686
"w3691",3691,0.6959927,1.85359,1.33073499234366,0.357133710940598
"w3689",3689,0.6911044,1.811723,1.30367269466146,0.346024633281725
"w3687",3687,0.688431,1.7738015,1.28003211406076,0.335221294104122
"w3685",3685,0.68995205,1.74961048152211,1.2666032768838,0.327192925988229
"w3683",3683,0.6941075,1.73380270901961,1.2593890906317,0.321086258649822
"w3681",3681,0.698545904929158,1.72461041106,1.25674510792566,0.316589855047839
"w3679",3679,0.70373605,1.7212015,1.25822122508126,0.313570740775607
"w3677",3677,0.710119692891621,1.7238915,1.26408862104127,0.312090015848781
"w3675",3675,0.718931405956266,1.7313115,1.27430670973729,0.31141585341108
"w3673",3673,0.73178735,1.7432615,1.28812743667301,0.310953358648166
"w3671",3671,0.7448691,1.7566415,1.30259765974634,0.310820095791773
"w3669",3669,0.757266585115363,1.7687415,1.31610315585653,0.310470124415752
"w3667",3667,0.770331575326799,1.77935921318395,1.32844384973875,0.309558775440433
"w3666",3666,0.78226495,1.7886915,1.33867402033986,0.308451199346641
"w3664",3664,0.794364,1.80047,1.35032171323628,0.307932101865599
"w3662",3662,0.80656301532557,1.81294211393119,1.36269380168012,0.307698705957794
"w3660",3660,0.81906985,1.82682143995653,1.37602248806188,0.307667742042401
"w3658",3658,0.8302149,1.83937,1.38829611305448,0.307769453603837
"w3656",3656,0.8389014,1.8491115,1.39860935680982,0.307602504086867
"w3654",3654,0.847407843465225,1.85596,1.40731099854052,0.306685204424294
"w3652",3652,0.854961933421585,1.85978563394141,1.41396501535325,0.305208706867746
"w3650",3650,0.85692485,1.8586515,1.4165736483815,0.303661786212308
"w3648",3648,0.8549164,1.85071463733425,1.41301360783763,0.301685111874204
"w3646",3646,0.8551957,1.84324,1.4106037063609,0.29899737662316
"w3644",3644,0.8597162,1.8391515,1.41192467358731,0.296215890153289
"w3642",3642,0.8635817,1.83624335891561,1.41417674570967,0.294037443207739
"w3640",3640,0.86687205,1.8345115,1.41668719106432,0.292504309790747
"w3639",3639,0.8702241,1.83548272686193,1.42013624287851,0.291522394053982
"w3637",3637,0.8757029,1.839843,1.42636506577021,0.290978065989355
"w3635",3635,0.88297965,1.8472315,1.43492976856204,0.290942037541306
"w3633",3633,0.8920455,1.85790476599536,1.44615933262615,0.291508410710255
"w3631",3631,0.901359598408067,1.87111,1.45919328416263,0.292654503033094
"w3629",3629,0.913674527959008,1.88873304122719,1.47494583625686,0.294372479973195
"w3627",3627,0.931639840102899,1.91011051007051,1.49462926535259,0.295616462216597
"w3625",3625,0.951498132740258,1.9269915,1.51350879454525,0.295357035900338
"w3623",3623,0.968638673456423,1.93777283130102,1.52791396625216,0.293669017456857
"w3621",3621,0.9781432,1.93363014319869,1.53100002474689,0.289788669674346
"w3619",3619,0.96926865,1.90444,1.51316198414354,0.283293876163111
"w3617",3617,0.9432411,1.85932,1.47757855206279,0.276769326356439
"w3615",3615,0.9166655,1.82251895087372,1.4443566126343,0.272816609210789
"w3613",3613,0.8935917,1.79497,1.41711758269951,0.270883655551833
"w3612",3612,0.87584945,1.775173,1.39636884629628,0.27028627978915
"w3610",3610,0.86111795,1.7600415,1.37916256461403,0.269883444247747
"w3608",3608,0.849601952187423,1.7485215,1.36609523834581,0.269915717979211
"w3606",3606,0.842307813760086,1.7413415,1.35715089714789,0.270012157101274
"w3604",3604,0.8389164,1.737433,1.35300865532014,0.269897154802191
"w3602",3602,0.83686875,1.73536,1.35078844076908,0.269957530990864
"w3600",3600,0.83360215,1.7326408346491,1.34815160298254,0.270180922604453
"w3598",3598,0.829671639497462,1.72963569619043,1.34466505520743,0.270508344760051
"w3596",3596,0.82423655,1.7256015,1.33955959643055,0.271000679180508
"w3594",3594,0.818155808566213,1.72116257486173,1.33302576223514,0.271623694354096
"w3592",3592,0.8128877,1.7170915,1.32714725289087,0.27209959312459
"w3590",3590,0.8089751,1.71432023253425,1.32293521879659,0.272493245005782
"w3588",3588,0.8045231,1.7120415,1.31862154531111,0.273149975968108
"w3586",3586,0.79952025,1.70906,1.31378565655491,0.273801011238418
"w3585",3585,0.797377471922268,1.7080015,1.31128555496788,0.274144345920867
"w3583",3583,0.795844,1.70776,1.3100349406959,0.274395163576814
"w3581",3581,0.7938127,1.70724,1.30845271904339,0.274967510072735
"w3579",3579,0.7907918,1.706293,1.30633508051962,0.275675932714775
"w3577",3577,0.788258353798773,1.70587607748033,1.304646083908,0.276308470932309
"w3575",3575,0.786846,1.7056415,1.30364667412316,0.276832520115787
"w3573",3573,0.78607195,1.7061315,1.30323242595284,0.277228616401139
"w3571",3571,0.785983,1.70681,1.30365570900699,0.27754262607332
"w3569",3569,0.7856674,1.70772537961293,1.30372143494419,0.278005844065924
"w3567",3567,0.78240315,1.70748,1.30160927280847,0.278927566410493
"w3565",3565,0.77883155,1.7066615,1.29902755993514,0.27969681448014
"w3563",3563,0.7796003,1.70807,1.29976299171514,0.279785112185901
"w3561",3561,0.7817115,1.7102715,1.30170829732939,0.279827431825254
"w3559",3559,0.782053,1.7117715,1.30252533728373,0.280187389090297
"w3558",3558,0.7814441,1.712993,1.30274425108191,0.280714484331036
"w3556",3556,0.78110455,1.71434,1.30312197083905,0.281217668513392
"w3554",3554,0.78108825,1.71600262757548,1.30380659855656,0.281713270060574
"w3552",3552,0.781057265739805,1.718103,1.30439657311387,0.282166599898483
"w3550",3550,0.781303099497735,1.71958,1.30523890550613,0.282607692131646
"w3548",3548,0.782303860644066,1.72223016361876,1.30666189192865,0.28301756815585
"w3546",3546,0.783495147541712,1.724793,1.30832915359833,0.283405090403317
"w3544",3544,0.783920662327282,1.72722,1.30943495965986,0.283910039977918
"w3542",3542,0.78363145,1.72963,1.30997647329946,0.284653012668649
"w3540",3540,0.7830647,1.7324,1.31067607749013,0.285611750013132
"w3538",3538,0.78323785,1.7365745,1.31207300781865,0.286585020355157
"w3536",3536,0.7836401,1.741,1.3139045191779,0.287643379708457
"w3534",3534,0.783348918235288,1.74639,1.31524783696359,0.288928817769921
"w3532",3532,0.7827915,1.7513015,1.31645658232617,0.29030042177059
"w3531",3531,0.7827142,1.75608,1.31775917768348,0.291379916532351
"w3529",3529,0.78271925,1.759126,1.31868066560496,0.292054096234308
"w3527",3527,0.78333055,1.75928,1.3192613526593,0.292004349033659
"w3525",3525,0.78490695,1.7581515,1.32002050770228,0.291358393243428
"w3523",3523,0.7859887,1.75652,1.32021809860056,0.29072710806114
"w3521",3521,0.7859157,1.7548215,1.31939433141752,0.290414288269881
"w3519",3519,0.785917,1.75389317063498,1.31888636347774,0.290232758329725
"w3517",3517,0.78675605,1.7535615,1.31919690952445,0.289958909202036
"w3515",3515,0.78816105,1.7537615,1.32003153015273,0.289648856478319
"w3513",3513,0.789336388295386,1.7539815,1.32075990727861,0.289468946455169
"w3511",3511,0.78933655,1.7538015,1.32061622851075,0.289555264982561
"w3509",3509,0.788836871345518,1.7535445,1.32007315735519,0.289779170381767
"w3507",3507,0.789218322223083,1.75396,1.32033804185706,0.289855410907769
"w3505",3505,0.791167144946283,1.75551,1.32189496133241,0.28977672256528
"w3504",3504,0.793032,1.75769,1.32364318155184,0.28970374598078
"w3502",3502,0.7943867,1.7589,1.32476442108432,0.289689301697661
"w3500",3500,0.795185,1.759913,1.32549170552721,0.289736486240876
"w3498",3498,0.7962677,1.7615315,1.3266381650862,0.289740269570069
"w3496",3496,0.7971865,1.7632045,1.32768248054343,0.289745790171898
"w3494",3494,0.7974524,1.7644315,1.32818706946493,0.289789888871764
"w3492",3492,0.79784695,1.76584054222572,1.32870685078867,0.289834891385728
"w3490",3490,0.7984052,1.7672115,1.32960771604914,0.289818664534542
"w3488",3488,0.799501,1.7686615,1.33093901071578,0.289742445149012
"w3486",3486,0.800540760098258,1.7698815,1.33218482370716,0.289705360072254
"w3484",3484,0.8008993,1.7703515,1.33301110771189,0.289815796846583
"w3482",3482,0.8015691,1.7711915,1.33414287510216,0.289938879174579
"w3480",3480,0.803349,1.77298,1.33602968457093,0.28996904485093
"w3478",3478,0.8048755,1.77504524636144,1.33766463650066,0.290107210889355
"w3477",3477,0.804946244752931,1.77669,1.3383261187671,0.290410959053839
"w3475",3475,0.8049197,1.77815,1.33897014745112,0.290821313712536
"w3473",3473,0.8060933,1.780703,1.3404357197225,0.291117540219704
"w3471",3471,0.8086074,1.78429,1.34313776921825,0.291243700456599
"w3469",3469,0.81140715,1.7881815,1.34625788867354,0.29133175251616
"w3467",3467,0.81258545,1.79092,1.34791296544567,0.291637413709973
"w3465",3465,0.8116174,1.792193,1.34781441663987,0.292186369881388
"w3463",3463,0.810735519268464,1.7935315,1.34765059901276,0.292743522209504
"w3461",3461,0.8111334,1.7956715,1.34855456570821,0.293107812678351
"w3459",3459,0.8118514,1.79749594746091,1.34966183320408,0.293395076029191
"w3457",3457,0.811686117771447,1.79887,1.3500701462719,0.293746509355968
"w3455",3455,0.81137905,1.7998575,1.35033314979225,0.294039121423735
"w3453",3453,0.8118212,1.80108,1.35099052914944,0.294165194810771
"w3451",3451,0.8125685,1.8020915,1.35183678804202,0.294153927953206
"w3450",3450,0.813589718744606,1.8027,1.35271211254334,0.29403108610844
"w3448",3448,0.814749,1.80289037829679,1.35354677246768,0.293788088277217
"w3446",3446,0.8153042,1.80218,1.35394276932338,0.293462119875955
"w3444",3444,0.81589275,1.8011815,1.35421177983435,0.293058667749979
"w3442",3442,0.8169079,1.7998515,1.35476156448762,0.292537324116975
"w3440",3440,0.81909165,1.79910636483883,1.35597564978329,0.291823161139273
"w3438",3438,0.8222471,1.7990515,1.3580092860486,0.290965316815471
"w3436",3436,0.82496040914841,1.7990145,1.3597123173072,0.290150415458169
"w3434",3434,0.8257514,1.7975315,1.35959373623046,0.289568957071626
"w3432",3432,0.82500825,1.795136,1.35820847547558,0.289147898820631
"w3430",3430,0.8244348,1.7927215,1.35684236914426,0.28874011355709
"w3428",3428,0.82367085,1.790813,1.35532655807027,0.288399721838136
"w3426",3426,0.82208455,1.7883015,1.35319226894713,0.288172082560753
"w3424",3424,0.8203667,1.786083,1.35116388630908,0.287967579253755
"w3423",3423,0.8198723,1.7845645,1.35002857229183,0.287715174337419
"w3421",3421,0.819841,1.7834121219965,1.34923484717159,0.287407584665629
"w3419",3419,0.81958375,1.782303,1.34833481415352,0.287146952883025
"w3417",3417,0.81945115,1.7815115,1.3476850804099,0.286902238702381
"w3415",3415,0.82045945,1.78153,1.34800278995817,0.286591014474977
"w3413",3413,0.8214833,1.7817445,1.34869526337252,0.28627684463522
"w3411",3411,0.8218434,1.78182,1.34877820730518,0.286088016351343
"w3409",3409,0.8215882,1.78113476025355,1.34828341105903,0.286009805663936
"w3407",3407,0.8208901,1.7803515,1.34747137028062,0.286004142039561
"w3405",3405,0.8206797,1.7797415,1.34700123488334,0.285988625849817
"w3403",3403,0.82177725,1.78061,1.34808110218532,0.285845891336107
"w3401",3401,0.8239618,1.782423,1.35010615481365,0.285666281153438
"w3399",3399,0.8244315,1.78276,1.35047896475078,0.285625949684286
"w3397",3397,0.82264995,1.78125,1.34866179797099,0.2856937442152
"w3396",3396,0.8213554,1.77960411154097,1.34712697744029,0.285650499913147
"w3394",3394,0.82170105,1.77937729962566,1.34715346467209,0.285412498250103
"w3392",3392,0.82253025,1.7793015,1.34748055893777,0.28510977882528
"w3390",3390,0.82152765,1.7776915,1.34603869556656,0.284929424649927
"w3388",3388,0.81943645820886,1.77522,1.34335867872714,0.284872274854414
"w3386",3386,0.817532315823788,1.77350027781107,1.34122032826366,0.284831680775894
"w3384",3384,0.816717027813314,1.772623,1.34018559277571,0.284750053846763
"w3382",3382,0.816821242118716,1.7723415,1.33993639370859,0.284605156455338
"w3380",3380,0.8173487,1.772346,1.33998381362984,0.284427679218458
"w3378",3378,0.817335,1.77224,1.33962822200152,0.284244435440773
"w3376",3376,0.81670385,1.7713515,1.33862398841908,0.284041641933893
"w3374",3374,0.8158767,1.7697245,1.33720868831894,0.283766033544432
"w3372",3372,0.81592712764929,1.76861132489492,1.33645938886385,0.283347676918952
"w3370",3370,0.8171447,1.76877,1.33692976825039,0.28283186528779
"w3369",3369,0.81795885,1.768503,1.33710407626714,0.28241501138525
"w3367",3367,0.81669395,1.76643,1.33520816995638,0.282125751155257
"w3365",3365,0.813827,1.7630115,1.33168213190493,0.281971699321982
"w3363",3363,0.81136725,1.760216,1.32866810886737,0.281804051256837
"w3361",3361,0.810092721403691,1.7583315,1.32699774807504,0.28155629676145
"w3359",3359,0.80902555,1.75675,1.32534853765068,0.281347440657766
"w3357",3357,0.807147074664841,1.75453,1.32310868278679,0.281208771295081
"w3355",3355,0.80575895,1.752753,1.32128857794205,0.281011305291022
"w3353",3353,0.80620995,1.75192,1.32080861456092,0.280704794233415
"w3351",3351,0.8070792,1.7518345,1.32105447159209,0.280366592213513
"w3349",3349,0.8065829,1.75064,1.31997611971399,0.280158255968648
"w3347",3347,0.80423485,1.74766041013866,1.31727403716298,0.280041024515535
"w3345",3345,0.80267725,1.745233,1.31524281973271,0.279856876518728
"w3343",3343,0.80258445,1.7439915,1.31452683705375,0.279596822842523
"w3342",3342,0.802655709748591,1.74318,1.31408029077986,0.27937103863422
"w3340",3340,0.80255433852751,1.7421215,1.31349750514471,0.279148635659535
"w3338",3338,0.801794378481357,1.740776,1.31250968002635,0.278963321391701
"w3336",3336,0.799869529180554,1.73834,1.31012386474053,0.278881576357318
"w3334",3334,0.7971997,1.7351615,1.30716539874946,0.278837156380739
"w3332",3332,0.795475653391905,1.7328215,1.30511812612708,0.278734006210476
"w3330",3330,0.7948108,1.73130279110887,1.30394075420616,0.278552958675999
"w3328",3328,0.79502695,1.73043880247246,1.30356217755883,0.278309792116461
"w3326",3326,0.795168,1.7299515,1.30359165511346,0.2780585524633
"w3324",3324,0.79472495,1.72864,1.30269177199402,0.277897201182584
"w3322",3322,0.792935,1.726243,1.30059720959017,0.277831656232484
"w3320",3320,0.791167225778422,1.72399,1.2984688842304,0.277770691789621
"w3318",3318,0.7901362,1.72208080487852,1.29697778331674,0.277676006854083
"w3317",3317,0.78936995,1.72066242460222,1.29603799902723,0.27755880556525
"w3315",3315,0.78889125,1.719403,1.29520857098517,0.277423442508653
"w3313",3313,0.78873085,1.7186215,1.29469726462317,0.277258306023217
"w3311",3311,0.789236080615319,1.71843,1.29500489272903,0.277057702088003
"w3309",3309,0.79085765,1.719179,1.29616252876586,0.276853753419555
"w3307",3307,0.791924202352757,1.71991,1.29704642602751,0.276705391229983
"w3305",3305,0.791296975006787,1.718893,1.29626790486737,0.27662618637194
"w3303",3303,0.788792,1.71592,1.29345705996238,0.276574936836666
"w3301",3301,0.7857904,1.71244,1.29026649774066,0.276519264766087
"w3299",3299,0.7845332,1.710366,1.28862715405964,0.276386718086678
"w3297",3297,0.78492479414871,1.7100045,1.28863823571244,0.276173035228038
"w3295",3295,0.78576195,1.7100315,1.28904912317852,0.275954023942731
"w3293",3293,0.78585905,1.7094635,1.28882329195755,0.275791966008168
"w3291",3291,0.78471015,1.7079,1.28746796129589,0.275702477239316
"w3290",3290,0.78261335,1.7050915,1.28526613634118,0.275613426641691
"w3288",3288,0.78050685,1.7025515,1.28277867253468,0.275523680629315
"w3286",3286,0.77921175,1.7005815,1.28121984145937,0.275370887212475
"w3284",3284,0.7785077315,1.6991115,1.28024535434682,0.275185496701129
"w3282",3282,0.77782395,1.69775,1.2793321759625,0.274991665230607
"w3280",3280,0.7773006,1.69637,1.27848308507828,0.274788001581595
"w3278",3278,0.7770542,1.6951215,1.27793740101703,0.274558943340376
"w3276",3276,0.777248,1.6941645,1.27787862810838,0.27428103498516
"w3274",3274,0.777783398976233,1.69373896732222,1.27811418746401,0.273997261188236
"w3272",3272,0.778278958616094,1.693343,1.27837201026689,0.273740684956679
"w3270",3270,0.778030916157775,1.69228,1.2778264685191,0.273541271400547
"w3268",3268,0.77589085,1.6894715,1.27552133550894,0.273393202221275
