wavelength,p10,p90
1008,1.06970665798648,1.54383
1010,1.06737339517575,1.54751
1012,1.06593,1.55291
1014,1.06515,1.55819705445497
1016,1.06396,1.5624
1018,1.0623,1.56378632948493
1020,1.05919,1.56164
1022,1.0544,1.55543
1024,1.04782,1.54611
1025,1.0392,1.53543
1027,1.02860789189163,1.52255
1029,1.01707,1.50997
1031,1.00584,1.49887628457873
1033,0.99524,1.48915
1035,0.985676,1.48131
1037,0.976527219491281,1.47482
1039,0.968226,1.46922
1041,0.960514,1.46473
1043,0.952611563888676,1.46048
1045,0.944481,1.45734
1047,0.936472,1.45468
1049,0.928333,1.45274
1051,0.92036,1.45144
1052,0.912211,1.45091
1054,0.90353,1.45126
1056,0.894406,1.45226
1058,0.883147,1.454
1060,0.870194,1.45618
1062,0.854754707564206,1.45878
1064,0.83772,1.4622
1066,0.819981,1.46658
1068,0.804317,1.47202
1070,0.791097,1.47916
1072,0.781521,1.48735
1074,0.775167,1.49673
1076,0.772102,1.50721
1078,0.771844,1.51838
1079,0.77329404880263,1.52852
1081,0.775276,1.53999
1083,0.778101,1.55143
1085,0.781473,1.56312
1087,0.785527,1.57405
1089,0.790008,1.58398
1091,0.794514,1.59366
1093,0.799776,1.60357
1095,0.80486167074776,1.61267
1097,0.810096,1.6218
1099,0.815351,1.63142
1101,0.820906,1.64141
1103,0.826157,1.6518
1105,0.831449,1.66248992338626
1106,0.836639992044737,1.67147
1108,0.841992,1.68123
1110,0.846883,1.68801
1112,0.849867,1.69014
1114,0.849888,1.68785393723508
1116,0.846232,1.68220775519319
1118,0.839502,1.67391
1120,0.830459,1.66612
1122,0.820494,1.65886
1124,0.810511,1.65374
1126,0.802411,1.65081
1128,0.796107,1.64986
1130,0.791339,1.65058
1132,0.788167,1.65234
1133,0.78615,1.65395
1135,0.78527,1.65622
1137,0.785532,1.65873
1139,0.786138,1.66115
1141,0.78714,1.66359
1143,0.789326,1.6666
1145,0.792591,1.66939168016028
1147,0.797684,1.6728285503748
1149,0.805509,1.67695
1151,0.817885,1.68207073236485
1153,0.837122,1.68860475351468
1155,0.863152,1.6961
1157,0.888788,1.7031555
1159,0.897775,1.70542021561033
1160,0.88313,1.70161
1162,0.852349,1.69403
1164,0.821286,1.68726628908963
1166,0.798391,1.68231
1168,0.782961,1.67911
1170,0.773314,1.67625
1172,0.767206,1.67361
1174,0.763266,1.67038
1176,0.760825,1.6668
1178,0.759272297260434,1.66242
1180,0.758564,1.65785
1182,0.757855,1.65304
1184,0.757109,1.64738
1186,0.756348,1.64228
1187,0.755500123129434,1.63754
1189,0.754453072872147,1.63302
1191,0.753452,1.62877
1193,0.752084,1.62536
1195,0.750208,1.62279
1197,0.747966,1.6202
1199,0.745212,1.61836
1201,0.741984,1.61716
1203,0.738029,1.61557579219371
1205,0.733924,1.61373
1207,0.729477,1.61225
1209,0.72496,1.61093
1211,0.720672123813915,1.6099
1213,0.717121,1.60987
1214,0.71508,1.61042
1216,0.714494,1.61196
1218,0.715933039130172,1.61396
1220,0.720164,1.61696
1222,0.727947746833672,1.62041
1224,0.740048,1.62437
1226,0.756975,1.62917731045331
1228,0.778721,1.63464
1230,0.803820348100742,1.64012
1232,0.830787,1.64592
1234,0.858594333468733,1.65099
1236,0.886719,1.65562
1238,0.915049,1.65977
1240,0.942959,1.66398
1241,0.968074,1.6675
1243,0.993928451106511,1.67076
1245,1.01887120595397,1.67373
1247,1.04246,1.67641
1249,1.06523895344619,1.67833
1251,1.08813,1.68052
1253,1.11155,1.68305
1255,1.13602,1.68577350202281
1257,1.16149095041925,1.6887
1259,1.18745,1.69202
1261,1.21372,1.6955
1263,1.2391,1.69931
1265,1.26295,1.7034
1267,1.2855730191869,1.70687
1268,1.30436,1.71016
1270,1.32319297690062,1.71318
1272,1.34029,1.71635
1274,1.35501,1.719
1276,1.36692,1.72204
1278,1.37643441145184,1.72429
1280,1.38305,1.72596
1282,1.38754504482267,1.7272
1284,1.39044,1.72795
1286,1.39216,1.72843
1288,1.39408,1.72924
1290,1.39606,1.73074
1292,1.39812,1.73329
1294,1.40033535742617,1.73636
1295,1.40217,1.73986
1297,1.40366,1.74383
1299,1.40462,1.7484
1301,1.40551,1.75352
1303,1.40668,1.75919
1305,1.40788,1.76556
1307,1.40914,1.77287
1309,1.41029,1.78024
1311,1.41118,1.78729
1313,1.4116,1.79397
1315,1.41152,1.79915
1317,1.41071707652094,1.80362
1319,1.40972987794378,1.80718
1321,1.40877,1.81016
1322,1.40794,1.81212
1324,1.40676652702743,1.81412
1326,1.40585,1.8165
1328,1.40507,1.81938
1330,1.40455,1.82225
1332,1.40408,1.8252
1334,1.40357,1.82780981304976
1336,1.40276,1.82963
1338,1.40168,1.83101
1340,1.40091,1.83240847299911
1342,1.40001,1.83278
1344,1.39903,1.83243
1346,1.39793,1.83202
1348,1.39685,1.83158
1349,1.39619385258148,1.83133
1351,1.39543,1.83139
1353,1.3949,1.8314
1355,1.39452243095599,1.83158
1357,1.39404,1.83171
1359,1.3934,1.83138
1361,1.3929695421422,1.83142
1363,1.39318,1.83182455090113
1365,1.39326,1.83165
1367,1.392884,1.83087
1369,1.39289,1.82966
1371,1.39257059268104,1.82822
1373,1.39207444720143,1.82576
1375,1.39196,1.82313
1376,1.39200236779208,1.82032
1378,1.39154708084265,1.81657
1380,1.39061579085121,1.81228
1382,1.38964194687563,1.80769
1384,1.38858,1.80302
1386,1.38774685785084,1.7989650247501
1388,1.38756,1.79554
1390,1.38683962043903,1.79201
1392,1.38611879459952,1.78832463523646
1394,1.38515577844508,1.78473
1396,1.38436,1.7812
1398,1.38347723759317,1.77714982339403
1400,1.38217453443507,1.77255
1402,1.38003,1.76759
1403,1.37763,1.7627
1405,1.37495,1.75834
1407,1.37284886360433,1.75467
1409,1.37119,1.75139
1411,1.37006,1.74874
1413,1.36898034935291,1.746
1415,1.36739436594483,1.74271
1417,1.3657,1.73924
1419,1.36436,1.73588
1421,1.3627,1.73177
1423,1.36043977197385,1.72731
1425,1.35774,1.72249
1427,1.35468518938387,1.71751
1429,1.35128639215548,1.71254
1430,1.34836219260715,1.70713
1432,1.34457,1.70165
1434,1.34042,1.6959
1436,1.33663465598849,1.69035
1438,1.3329,1.68535
1440,1.32896,1.68039
1442,1.32464,1.67535
1444,1.32015,1.67051
1446,1.3157311846754,1.66636
1448,1.31154,1.66312
1450,1.30778,1.66023
1452,1.30376,1.65698
1454,1.29916779573927,1.65339
1456,1.29434,1.65008
1457,1.29148,1.64841
1459,1.28777,1.64627
1461,1.28381,1.64283
1463,1.27973028101142,1.63906
1465,1.27576,1.63541
1467,1.2717,1.63090024591532
1469,1.26696,1.62486
1471,1.26143267863489,1.61782
1473,1.25667634199594,1.61176
1475,1.25262,1.60712
1477,1.24918732549253,1.60337
1479,1.24572295229777,1.59955
1481,1.24242,1.59645
1483,1.23920890363332,1.59339
1484,1.23662,1.59017
1486,1.23348313202384,1.58704
1488,1.23127074719503,1.58514
1490,1.23003,1.58382
1492,1.2283285,1.5814
1494,1.22603,1.57763
1496,1.22394,1.57354967205957
1498,1.22271,1.57036
1500,1.22175630808899,1.56762
1502,1.22026,1.56459
1504,1.21809,1.56128
1506,1.21717,1.56104
1508,1.22004632665548,1.56491
1510,1.222098,1.56792
1511,1.22273,1.56908
1513,1.22308572907697,1.56974
1515,1.2233,1.57057
1517,1.22389,1.5715
1519,1.22436,1.57195
1521,1.22537,1.57356
1523,1.22698,1.57503
1525,1.22795,1.57564
1527,1.22848,1.5756
1529,1.22802,1.57398
1531,1.2261790586438,1.57092
1533,1.22395,1.56742
1535,1.22144,1.56379
1537,1.21819,1.55963
1538,1.21519,1.55635
1540,1.2123774493102,1.55701
1542,1.21093,1.55944884967183
1544,1.20991,1.56153
1546,1.20824,1.56302
1548,1.20619,1.56444
1550,1.20443011973754,1.56619
1552,1.20312,1.56813
1554,1.20202,1.56946
1556,1.20083,1.57017
1558,1.20247,1.57428
1560,1.20934,1.58317828985627
1562,1.2136695274333,1.58764
1564,1.217,1.5901
1565,1.22044912957276,1.59332
1567,1.22551,1.59722
1569,1.23248,1.60327
1571,1.23883,1.60863
1573,1.24309326596099,1.61181
1575,1.24901,1.61719
1577,1.25754,1.62529909373855
1579,1.26491952139603,1.63148
1581,1.27133,1.63656
1583,1.27817,1.64258
1585,1.2854,1.64876
1587,1.29236999331132,1.65482
1589,1.29914,1.66081
1591,1.30608113279085,1.6668
1592,1.31184,1.67272
1594,1.31921571318022,1.67908
1596,1.32656,1.68535
1598,1.33359,1.69115
1600,1.34066221103536,1.69698
1602,1.34813,1.70279
1604,1.35555,1.70839
